roll_no,name,branch,year,email,phone,assigned_mentor_id
1,Student 01,CSE,1,student01@university.edu,9876500001,FAC001
2,Student 02,ECE,1,student02@university.edu,9876500002,FAC001
3,Student 03,MECH,1,student03@university.edu,9876500003,FAC001
4,Student 04,CIVIL,1,student04@university.edu,9876500004,FAC001
5,Student 05,EEE,1,student05@university.edu,9876500005,FAC001
6,Student 06,CSE,1,student06@university.edu,9876500006,FAC001
7,Student 07,ECE,1,student07@university.edu,9876500007,FAC001
8,Student 08,MECH,1,student08@university.edu,9876500008,FAC001
9,Student 09,CIVIL,1,student09@university.edu,9876500009,FAC001
10,Student 10,EEE,1,student10@university.edu,9876500010,FAC001
11,Student 11,CSE,1,student11@university.edu,9876500011,FAC001
12,Student 12,ECE,1,student12@university.edu,9876500012,FAC001
13,Student 13,MECH,1,student13@university.edu,9876500013,FAC001
14,Student 14,CIVIL,1,student14@university.edu,9876500014,FAC001
15,Student 15,EEE,1,student15@university.edu,9876500015,FAC001
16,Student 16,CSE,1,student16@university.edu,9876500016,FAC001
17,Student 17,ECE,2,student17@university.edu,9876500017,FAC001
18,Student 18,MECH,2,student18@university.edu,9876500018,FAC001
19,Student 19,CIVIL,2,student19@university.edu,9876500019,FAC001
20,Student 20,EEE,2,student20@university.edu,9876500020,FAC001
21,Student 21,CSE,2,student21@university.edu,9876500021,FAC001
22,Student 22,ECE,2,student22@university.edu,9876500022,FAC001
23,Student 23,MECH,2,student23@university.edu,9876500023,FAC001
24,Student 24,CIVIL,2,student24@university.edu,9876500024,FAC001
25,Student 25,EEE,2,student25@university.edu,9876500025,FAC001
26,Student 26,CSE,2,student26@university.edu,9876500026,FAC001
27,Student 27,ECE,2,student27@university.edu,9876500027,FAC001
28,Student 28,MECH,2,student28@university.edu,9876500028,FAC001
29,Student 29,CIVIL,2,student29@university.edu,9876500029,FAC001
30,Student 30,EEE,2,student30@university.edu,9876500030,FAC001
31,Student 31,CSE,2,student31@university.edu,9876500031,FAC002
32,Student 32,ECE,2,student32@university.edu,9876500032,FAC002
33,Student 33,MECH,3,student33@university.edu,9876500033,FAC002
34,Student 34,CIVIL,3,student34@university.edu,9876500034,FAC002
35,Student 35,EEE,3,student35@university.edu,9876500035,FAC002
36,Student 36,CSE,3,student36@university.edu,9876500036,FAC002
37,Student 37,ECE,3,student37@university.edu,9876500037,FAC002
38,Student 38,MECH,3,student38@university.edu,9876500038,FAC002
39,Student 39,CIVIL,3,student39@university.edu,9876500039,FAC002
40,Student 40,EEE,3,student40@university.edu,9876500040,FAC002
41,Student 41,CSE,3,student41@university.edu,9876500041,FAC002
42,Student 42,ECE,3,student42@university.edu,9876500042,FAC002
43,Student 43,MECH,3,student43@university.edu,9876500043,FAC002
44,Student 44,CIVIL,3,student44@university.edu,9876500044,FAC002
45,Student 45,EEE,3,student45@university.edu,9876500045,FAC002
46,Student 46,CSE,3,student46@university.edu,9876500046,FAC002
47,Student 47,ECE,3,student47@university.edu,9876500047,FAC002
48,Student 48,MECH,3,student48@university.edu,9876500048,FAC002
49,Student 49,CIVIL,4,student49@university.edu,9876500049,FAC002
50,Student 50,EEE,4,student50@university.edu,9876500050,FAC002
51,Student 51,CSE,4,student51@university.edu,9876500051,FAC002
52,Student 52,ECE,4,student52@university.edu,9876500052,FAC002
53,Student 53,MECH,4,student53@university.edu,9876500053,FAC002
54,Student 54,CIVIL,4,student54@university.edu,9876500054,FAC002
55,Student 55,EEE,4,student55@university.edu,9876500055,FAC002
56,Student 56,CSE,4,student56@university.edu,9876500056,FAC002
57,Student 57,ECE,4,student57@university.edu,9876500057,FAC002
58,Student 58,MECH,4,student58@university.edu,9876500058,FAC002
59,Student 59,CIVIL,4,student59@university.edu,9876500059,FAC002
60,Student 60,EEE,4,student60@university.edu,9876500060,FAC002
61,Student 61,CSE,4,student61@university.edu,9876500061,FAC002
62,Student 62,ECE,4,student62@university.edu,9876500062,FAC002
63,Student 63,MECH,4,student63@university.edu,9876500063,FAC002
64,Student 64,CIVIL,4,student64@university.edu,9876500064,FAC002
