Detailed Assignment Report
Generated on:,2025-08-20 17:55:29

Student-Mentor Assignments
Roll No,Student Name,Branch,Year,Mentor ID,Mentor Name,Department
1,Student 01,CSE,1,FAC001,Dr. Mentor 1,Computer Science
2,Student 02,ECE,1,FAC001,Dr. Mentor 1,Computer Science
3,Student 03,MECH,1,FAC001,Dr. Mentor 1,Computer Science
4,Student 04,CIVIL,1,FAC001,Dr. Mentor 1,Computer Science
5,Student 05,EEE,1,FAC001,Dr. Mentor 1,Computer Science
6,Student 06,CSE,1,FAC001,Dr. Mentor 1,Computer Science
7,Student 07,ECE,1,FAC001,Dr. Mentor 1,Computer Science
8,Student 08,MECH,1,FAC001,Dr. Mentor 1,Computer Science
9,Student 09,CIVIL,1,FAC001,Dr. Mentor 1,Computer Science
10,Student 10,EEE,1,FAC001,Dr. Mentor 1,Computer Science
11,Student 11,CSE,1,FAC001,Dr. Mentor 1,Computer Science
12,Student 12,ECE,1,FAC001,Dr. Mentor 1,Computer Science
13,Student 13,MECH,1,FAC001,Dr. Mentor 1,Computer Science
14,Student 14,CIVIL,1,FAC001,Dr. Mentor 1,Computer Science
15,Student 15,EEE,1,FAC001,Dr. Mentor 1,Computer Science
16,Student 16,CSE,1,FAC001,Dr. Mentor 1,Computer Science
17,Student 17,ECE,2,FAC001,Dr. Mentor 1,Computer Science
18,Student 18,MECH,2,FAC001,Dr. Mentor 1,Computer Science
19,Student 19,CIVIL,2,FAC001,Dr. Mentor 1,Computer Science
20,Student 20,EEE,2,FAC001,Dr. Mentor 1,Computer Science
21,Student 21,CSE,2,FAC001,Dr. Mentor 1,Computer Science
22,Student 22,ECE,2,FAC001,Dr. Mentor 1,Computer Science
23,Student 23,MECH,2,FAC001,Dr. Mentor 1,Computer Science
24,Student 24,CIVIL,2,FAC001,Dr. Mentor 1,Computer Science
25,Student 25,EEE,2,FAC001,Dr. Mentor 1,Computer Science
26,Student 26,CSE,2,FAC001,Dr. Mentor 1,Computer Science
27,Student 27,ECE,2,FAC001,Dr. Mentor 1,Computer Science
28,Student 28,MECH,2,FAC001,Dr. Mentor 1,Computer Science
29,Student 29,CIVIL,2,FAC001,Dr. Mentor 1,Computer Science
30,Student 30,EEE,2,FAC001,Dr. Mentor 1,Computer Science
31,Student 31,CSE,2,FAC002,Dr. Mentor 2,Electronics
32,Student 32,ECE,2,FAC002,Dr. Mentor 2,Electronics
33,Student 33,MECH,3,FAC002,Dr. Mentor 2,Electronics
34,Student 34,CIVIL,3,FAC002,Dr. Mentor 2,Electronics
35,Student 35,EEE,3,FAC002,Dr. Mentor 2,Electronics
36,Student 36,CSE,3,FAC002,Dr. Mentor 2,Electronics
37,Student 37,ECE,3,FAC002,Dr. Mentor 2,Electronics
38,Student 38,MECH,3,FAC002,Dr. Mentor 2,Electronics
39,Student 39,CIVIL,3,FAC002,Dr. Mentor 2,Electronics
40,Student 40,EEE,3,FAC002,Dr. Mentor 2,Electronics
41,Student 41,CSE,3,FAC002,Dr. Mentor 2,Electronics
42,Student 42,ECE,3,FAC002,Dr. Mentor 2,Electronics
43,Student 43,MECH,3,FAC002,Dr. Mentor 2,Electronics
44,Student 44,CIVIL,3,FAC002,Dr. Mentor 2,Electronics
45,Student 45,EEE,3,FAC002,Dr. Mentor 2,Electronics
46,Student 46,CSE,3,FAC002,Dr. Mentor 2,Electronics
47,Student 47,ECE,3,FAC002,Dr. Mentor 2,Electronics
48,Student 48,MECH,3,FAC002,Dr. Mentor 2,Electronics
49,Student 49,CIVIL,4,FAC002,Dr. Mentor 2,Electronics
50,Student 50,EEE,4,FAC002,Dr. Mentor 2,Electronics
51,Student 51,CSE,4,FAC002,Dr. Mentor 2,Electronics
52,Student 52,ECE,4,FAC002,Dr. Mentor 2,Electronics
53,Student 53,MECH,4,FAC002,Dr. Mentor 2,Electronics
54,Student 54,CIVIL,4,FAC002,Dr. Mentor 2,Electronics
55,Student 55,EEE,4,FAC002,Dr. Mentor 2,Electronics
56,Student 56,CSE,4,FAC002,Dr. Mentor 2,Electronics
57,Student 57,ECE,4,FAC002,Dr. Mentor 2,Electronics
58,Student 58,MECH,4,FAC002,Dr. Mentor 2,Electronics
59,Student 59,CIVIL,4,FAC002,Dr. Mentor 2,Electronics
60,Student 60,EEE,4,FAC002,Dr. Mentor 2,Electronics
61,Student 61,CSE,4,FAC003,Dr. Mentor 3,Mechanical
62,Student 62,ECE,4,FAC003,Dr. Mentor 3,Mechanical
63,Student 63,MECH,4,FAC003,Dr. Mentor 3,Mechanical
64,Student 64,CIVIL,4,FAC003,Dr. Mentor 3,Mechanical
65,Student 65,EEE,4,FAC003,Dr. Mentor 3,Mechanical
66,Student 66,CSE,4,FAC003,Dr. Mentor 3,Mechanical
67,Student 67,ECE,4,FAC003,Dr. Mentor 3,Mechanical
68,Student 68,MECH,4,FAC003,Dr. Mentor 3,Mechanical
69,Student 69,CIVIL,4,FAC003,Dr. Mentor 3,Mechanical
70,Student 70,EEE,4,FAC003,Dr. Mentor 3,Mechanical
71,Student 71,CSE,4,FAC003,Dr. Mentor 3,Mechanical
72,Student 72,ECE,4,FAC003,Dr. Mentor 3,Mechanical
73,Student 73,MECH,4,FAC003,Dr. Mentor 3,Mechanical
